,iso_code,continent,Country,date,total_cases,new_cases,total_deaths,total_cases_per_million,total_deaths_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
46851,LTU,Europe,Lithuania,2021-05-12,261128,1266,4059,95922.148,1491.024,,2722291,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38,,6.56,75.93,0.882
47295,LUX,Europe,Luxembourg,2021-05-12,68748,196,806,109825.297,1287.589,,625976,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,,4.51,82.25,0.916
47388,MAC,Asia,Macao,2021-05-11,,,,,,,649342,20546.766,39.2,9.798,4.991,104861.851,,,,,,,,84.24,
47807,MDG,Africa,Madagascar,2021-05-12,39510,159,738,1426.816,26.651,,27691019,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528
48217,MWI,Africa,Malawi,2021-05-12,34183,0,1153,1786.883,60.272,,19129955,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483
48691,MYS,Asia,Malaysia,2021-05-12,453222,4765,1761,14003.029,54.409,,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.81
49122,MDV,Asia,Maldives,2021-05-12,40092,1572,87,74170,160.95,,540542,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55,95.803,,78.92,0.74
49536,MLI,Africa,Mali,2021-05-12,14149,16,507,698.687,25.036,,20250834,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23,52.232,0.1,59.31,0.434
49998,MLT,Europe,Malta,2021-05-12,30469,5,417,69006.362,944.424,,441539,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,,4.485,82.53,0.895
50195,MHL,Oceania,Marshall Islands,2021-05-12,4,0,,67.574,,,59194,295.15,,,,3819.202,,557.793,30.53,,,82.502,2.7,73.7,0.704
50620,MRT,Africa,Mauritania,2021-05-12,18745,54,457,4031.478,98.287,,4649660,4.289,20.3,3.138,1.792,3597.633,6,232.347,2.42,,,15.95,,64.92,0.546
51041,MUS,Africa,Mauritius,2021-05-12,1266,9,17,995.465,13.367,,1271767,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804
51539,MEX,North America,Mexico,2021-05-12,2371483,3090,219590,18393.177,1703.136,,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779
51651,FSM,Oceania,Micronesia (country),2021-05-12,1,0,,8.694,,,115021,150.777,23,4.81,2.392,3299.464,16,454.343,12.02,,,,,67.88,0.62
52082,MDA,Europe,Moldova,2021-05-12,253173,224,5981,62760.367,1482.661,,4033963,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75
52521,MCO,Europe,Monaco,2021-05-12,2487,1,32,63372.745,815.411,,39244,19347.5,,,,,,,5.46,,,,13.8,86.75,
52950,MNG,Asia,Mongolia,2021-05-12,47033,585,193,14346.8,58.872,,3278292,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7,69.87,0.737
53372,MNE,Europe,Montenegro,2021-05-12,98546,97,1548,156904.892,2464.725,,628062,46.28,39.1,14.762,9.395,16409.288,1,387.305,10.08,44,47.9,,3.861,76.88,0.829
53445,MSR,North America,Montserrat,2021-04-21,,,,,,,4999,,,,,,,,,,,,,74.16,
53906,MAR,Africa,Morocco,2021-05-12,514432,268,9088,13937.259,246.217,,36910558,80.08,29.6,6.769,4.209,7485.013,1,419.146,7.14,0.8,47.1,,1.1,76.68,0.686
54323,MOZ,Africa,Mozambique,2021-05-12,70287,20,826,2248.793,26.427,,31255435,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456
54735,MMR,Asia,Myanmar,2021-05-12,142997,23,3211,2628.148,59.015,,54409794,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583
55160,NAM,Africa,Namibia,2021-05-12,50515,214,702,19880.626,276.278,,2540916,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646
55183,NRU,Oceania,Nauru,2021-04-30,,,,,,,10834,682.45,,,,12895.635,,,24.07,43,36.9,,5,59.96,
55657,NPL,Asia,Nepal,2021-05-12,422349,9238,4252,14495.376,145.932,,29136808,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602
56098,NLD,Europe,Netherlands,2021-05-12,1604659,6379,17664,93648.724,1030.88,,17134873,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944
56197,NCL,Oceania,New Caledonia,2021-05-11,,,,,,,285491,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,
56637,NZL,Oceania,New Zealand,2021-05-12,2644,1,26,548.294,5.392,,4822233,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.931
